Continent,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,Sao Tome and Principe,STP,61.0625,61.03541667,61.00833333,60.98125,60.95416667,60.92708333,60.9,60.87291667,60.84583333,60.81875,60.79166667,60.76458333,60.7375,60.71041667,60.68333333,60.65625,60.62916667,60.60208333,60.575,60.54791667,60.52083333,59.875,59.22916667,58.58333333,57.9375,57.29166667,56.64583333,56.0,55.35416667,54.70833333,54.0625,53.41666667,52.77083333
Africa,Eswatini,SWZ,26.81046512,26.88104651,26.95162791,27.0222093,27.0927907,27.16337209,27.23395349,27.30453488,27.37511628,27.44569767,27.51627907,27.5869186,27.65755814,27.72819767,27.79883721,27.86947674,27.94011628,28.01075581,28.08139535,28.15203488,28.22267442,28.29325581,28.36383721,28.4344186,28.505,28.5755814,28.64651163,28.71686047,28.7872093,28.85755814,28.92790698,28.99825581,29.06860465
Africa,Seychelles,SYC,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957,73.26086957
Africa,Chad,TCD,5.344663278,5.314723634,5.28478399,5.254844346,5.224904701,5.194965057,5.165025413,5.135085769,5.105146125,5.07520648,5.045266836,4.979907878,4.91454892,4.849189962,4.783831004,4.718472046,4.653113088,4.58775413,4.522395172,4.457036213,4.391677255,4.290025413,4.188373571,4.086721728,3.985069886,3.883418043,3.787325286,3.693614994,3.601493011,3.511753494,3.425190597,3.336509927,3.249241105
Africa,Togo,TGO,25.03511675,24.86376908,24.6924214,24.52107373,24.34972605,24.17837838,24.0070307,23.83568303,23.66433536,23.49298768,23.32164001,23.26722927,23.21281853,23.1584078,23.10399706,23.04958632,22.99517558,22.94076485,22.88635411,22.83194337,22.77753263,22.72311087,22.6686891,22.61426733,22.55984556,22.50542379,22.45100202,22.39658025,22.34215849,22.28773672,22.23331495,22.17889318,22.12447141
Africa,Tunisia,TUN,4.145062436,4.160428682,4.175794928,4.191161174,4.20652742,4.22189431,4.237260556,4.252626802,4.267993048,4.283359295,4.298725541,4.311328527,4.323931514,4.336534501,4.349137487,4.361740474,4.37434346,4.386946447,4.399549434,4.41215242,4.424755407,4.434603502,4.444451596,4.454299691,4.464147786,4.473995881,4.483843975,4.49369207,4.503540165,4.51338826,4.523236354,4.533084449,4.542932544
Africa,Tanzania,TZA,64.78890269,64.36894333,63.94898397,63.52902461,63.10906525,62.68910589,62.26914653,61.84918718,61.42922782,61.00926846,60.5893091,60.16934974,59.74939038,59.32943102,58.90947166,58.48951231,58.06955295,57.64959359,57.22963423,56.80967487,56.38971551,55.96975389,55.54979228,55.12983066,54.70986904,54.28990743,53.76044254,53.23097765,52.70151276,52.17204787,51.64258298,51.11311809,50.58365319
Africa,Uganda,UGA,17.89434963,17.6878935,17.48143737,17.27498123,17.0685251,16.86206897,16.65561283,16.4491567,16.24270057,16.03624443,15.8297883,15.62332716,15.41686602,15.21040488,15.00394375,14.79748261,14.59102147,14.38456033,14.17809919,13.97163806,13.71643726,13.51071215,13.30498703,13.09926192,12.8935368,12.68781169,12.48209655,12.27638141,12.07066627,11.86490126,11.65918612,11.45343756,11.24771145
Africa,South Africa,ZAF,14.95527125,14.92526523,14.89525921,14.8652532,14.83524718,14.80524116,14.77523514,14.74522913,14.71522311,14.68521709,14.65521107,14.62520505,14.59519904,14.56519302,14.535187,14.50518098,14.47517497,14.44516895,14.41516293,14.38515691,14.3551509,14.32514488,14.29513886,14.26513284,14.23512682,14.20512081,14.17511479,14.14510877,14.11510275,14.08509674,14.05509072,14.0250847,13.99507868
Africa,Zambia,ZMB,63.77809763,63.72993987,63.68178211,63.63362434,63.58546658,63.53730882,63.48915105,63.44099329,63.39283552,63.34467776,63.29652,63.24836223,63.20020447,63.1520467,63.10388894,63.05573118,63.00757341,62.95941565,62.91125789,62.86310012,62.81494236,62.56180471,62.30866705,62.0555294,61.80239175,61.54925409,61.29595502,61.04288462,60.78970661,60.53651515,60.28333714,60.03015012,59.77696915
Africa,Zimbabwe,ZWE,48.66661497,48.54752488,48.42843479,48.30934471,48.19025462,48.07116453,47.95207445,47.83298436,47.71389427,47.59480419,47.4757141,47.35662401,47.23753393,47.11844384,46.99935375,46.88026367,46.76117358,46.64208349,46.52299341,46.40390332,46.28481324,46.16572315,46.04663306,45.92754298,45.80845289,45.6893628,45.57027272,45.45118263,45.33209254,45.21300246,45.09391237,44.97482228,44.8557322
Asia,Afghanistan,AFG,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994
Asia,United Arab Emirates,ARE,3.44973247,3.540453393,3.631174317,3.721895241,3.812616164,3.903337088,3.994058012,4.084778936,4.175499859,4.266220783,4.356941707,4.368023092,4.379104478,4.390185863,4.401267249,4.412348634,4.42343002,4.434511405,4.445592791,4.456674176,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562,4.467755562
